Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1
train 0 ====> Acc@1 16.478 Acc@5 66.064
sparsity 0 ====> 49.15% || num_zero/num_total: 420653/855770
valid 0 ====> Acc@1 19.230 Acc@5 76.230
train 1 ====> Acc@1 23.646 Acc@5 79.718
sparsity 1 ====> 49.53% || num_zero/num_total: 423821/855770
valid 1 ====> Acc@1 22.530 Acc@5 80.100
train 2 ====> Acc@1 28.690 Acc@5 83.954
sparsity 2 ====> 49.73% || num_zero/num_total: 425549/855770
valid 2 ====> Acc@1 25.760 Acc@5 80.160
train 3 ====> Acc@1 30.860 Acc@5 85.612
sparsity 3 ====> 49.69% || num_zero/num_total: 425261/855770
valid 3 ====> Acc@1 21.660 Acc@5 69.900
train 4 ====> Acc@1 33.106 Acc@5 86.426
sparsity 4 ====> 49.66% || num_zero/num_total: 424973/855770
valid 4 ====> Acc@1 32.000 Acc@5 84.990
train 5 ====> Acc@1 34.064 Acc@5 86.956
sparsity 5 ====> 49.73% || num_zero/num_total: 425549/855770
valid 5 ====> Acc@1 33.970 Acc@5 85.750
train 6 ====> Acc@1 35.364 Acc@5 87.822
sparsity 6 ====> 49.69% || num_zero/num_total: 425261/855770
valid 6 ====> Acc@1 30.900 Acc@5 86.400
train 7 ====> Acc@1 36.684 Acc@5 88.306
sparsity 7 ====> 49.69% || num_zero/num_total: 425261/855770
valid 7 ====> Acc@1 25.720 Acc@5 71.600
train 8 ====> Acc@1 37.344 Acc@5 88.764
sparsity 8 ====> 49.69% || num_zero/num_total: 425261/855770
valid 8 ====> Acc@1 36.290 Acc@5 88.560
train 9 ====> Acc@1 38.654 Acc@5 89.304
sparsity 9 ====> 49.73% || num_zero/num_total: 425549/855770
valid 9 ====> Acc@1 37.820 Acc@5 88.840
train 10 ====> Acc@1 39.376 Acc@5 89.198
sparsity 10 ====> 50.60% || num_zero/num_total: 433037/855770
valid 10 ====> Acc@1 36.460 Acc@5 85.820
train 11 ====> Acc@1 39.816 Acc@5 89.756
sparsity 11 ====> 51.53% || num_zero/num_total: 440957/855770
valid 11 ====> Acc@1 39.680 Acc@5 88.550
train 12 ====> Acc@1 41.398 Acc@5 90.174
sparsity 12 ====> 51.54% || num_zero/num_total: 441101/855770
valid 12 ====> Acc@1 41.030 Acc@5 90.580
train 13 ====> Acc@1 41.934 Acc@5 90.694
sparsity 13 ====> 51.56% || num_zero/num_total: 441245/855770
valid 13 ====> Acc@1 41.930 Acc@5 90.200
train 14 ====> Acc@1 42.486 Acc@5 90.754
sparsity 14 ====> 51.63% || num_zero/num_total: 441821/855770
valid 14 ====> Acc@1 35.780 Acc@5 85.690
train 15 ====> Acc@1 43.010 Acc@5 90.976
sparsity 15 ====> 51.70% || num_zero/num_total: 442397/855770
valid 15 ====> Acc@1 39.980 Acc@5 87.470
train 16 ====> Acc@1 44.158 Acc@5 91.262
sparsity 16 ====> 51.76% || num_zero/num_total: 442973/855770
valid 16 ====> Acc@1 42.960 Acc@5 90.710
train 17 ====> Acc@1 45.168 Acc@5 91.740
sparsity 17 ====> 51.76% || num_zero/num_total: 442973/855770
valid 17 ====> Acc@1 43.150 Acc@5 90.300
train 18 ====> Acc@1 45.920 Acc@5 92.040
sparsity 18 ====> 51.76% || num_zero/num_total: 442973/855770
valid 18 ====> Acc@1 40.390 Acc@5 89.730
train 19 ====> Acc@1 46.772 Acc@5 92.282
sparsity 19 ====> 51.65% || num_zero/num_total: 441965/855770
valid 19 ====> Acc@1 37.850 Acc@5 89.740
train 20 ====> Acc@1 47.500 Acc@5 92.370
sparsity 20 ====> 51.76% || num_zero/num_total: 442973/855770
valid 20 ====> Acc@1 46.420 Acc@5 91.160
train 21 ====> Acc@1 47.742 Acc@5 92.348
sparsity 21 ====> 51.76% || num_zero/num_total: 442973/855770
valid 21 ====> Acc@1 46.440 Acc@5 92.330
train 22 ====> Acc@1 48.662 Acc@5 92.890
sparsity 22 ====> 51.76% || num_zero/num_total: 442973/855770
valid 22 ====> Acc@1 48.970 Acc@5 93.420
train 23 ====> Acc@1 48.874 Acc@5 92.854
sparsity 23 ====> 51.76% || num_zero/num_total: 442973/855770
valid 23 ====> Acc@1 45.300 Acc@5 91.420
train 24 ====> Acc@1 49.238 Acc@5 92.970
sparsity 24 ====> 51.78% || num_zero/num_total: 443117/855770
valid 24 ====> Acc@1 46.040 Acc@5 91.590
train 25 ====> Acc@1 49.946 Acc@5 93.114
sparsity 25 ====> 51.81% || num_zero/num_total: 443405/855770
valid 25 ====> Acc@1 49.200 Acc@5 93.390
train 26 ====> Acc@1 50.248 Acc@5 93.346
sparsity 26 ====> 51.81% || num_zero/num_total: 443405/855770
valid 26 ====> Acc@1 41.200 Acc@5 90.590
train 27 ====> Acc@1 50.800 Acc@5 93.346
sparsity 27 ====> 51.76% || num_zero/num_total: 442973/855770
valid 27 ====> Acc@1 49.250 Acc@5 92.920
train 28 ====> Acc@1 51.058 Acc@5 93.490
sparsity 28 ====> 51.81% || num_zero/num_total: 443405/855770
valid 28 ====> Acc@1 43.430 Acc@5 89.970
train 29 ====> Acc@1 50.982 Acc@5 93.588
sparsity 29 ====> 51.78% || num_zero/num_total: 443117/855770
valid 29 ====> Acc@1 49.400 Acc@5 93.350
train 30 ====> Acc@1 51.874 Acc@5 93.696
sparsity 30 ====> 51.78% || num_zero/num_total: 443117/855770
valid 30 ====> Acc@1 51.640 Acc@5 93.510
train 31 ====> Acc@1 52.112 Acc@5 93.994
sparsity 31 ====> 51.78% || num_zero/num_total: 443117/855770
valid 31 ====> Acc@1 51.060 Acc@5 93.200
train 32 ====> Acc@1 52.416 Acc@5 93.938
sparsity 32 ====> 51.78% || num_zero/num_total: 443117/855770
valid 32 ====> Acc@1 51.700 Acc@5 94.350
train 33 ====> Acc@1 52.632 Acc@5 93.994
sparsity 33 ====> 51.73% || num_zero/num_total: 442685/855770
valid 33 ====> Acc@1 48.920 Acc@5 92.160
train 34 ====> Acc@1 52.892 Acc@5 94.044
sparsity 34 ====> 51.78% || num_zero/num_total: 443117/855770
valid 34 ====> Acc@1 45.420 Acc@5 90.050
train 35 ====> Acc@1 53.334 Acc@5 94.120
sparsity 35 ====> 51.78% || num_zero/num_total: 443117/855770
valid 35 ====> Acc@1 50.310 Acc@5 93.390
train 36 ====> Acc@1 53.840 Acc@5 94.284
sparsity 36 ====> 51.71% || num_zero/num_total: 442541/855770
valid 36 ====> Acc@1 52.000 Acc@5 93.390
train 37 ====> Acc@1 54.120 Acc@5 94.408
sparsity 37 ====> 51.75% || num_zero/num_total: 442829/855770
valid 37 ====> Acc@1 51.720 Acc@5 92.680
train 38 ====> Acc@1 54.224 Acc@5 94.408
sparsity 38 ====> 51.78% || num_zero/num_total: 443117/855770
valid 38 ====> Acc@1 46.280 Acc@5 90.960
train 39 ====> Acc@1 54.358 Acc@5 94.658
sparsity 39 ====> 51.75% || num_zero/num_total: 442829/855770
valid 39 ====> Acc@1 53.050 Acc@5 94.690
train 40 ====> Acc@1 54.666 Acc@5 94.614
sparsity 40 ====> 51.71% || num_zero/num_total: 442541/855770
valid 40 ====> Acc@1 53.860 Acc@5 94.050
train 41 ====> Acc@1 55.146 Acc@5 94.712
sparsity 41 ====> 51.73% || num_zero/num_total: 442685/855770
valid 41 ====> Acc@1 48.370 Acc@5 93.420
train 42 ====> Acc@1 54.906 Acc@5 94.718
sparsity 42 ====> 51.78% || num_zero/num_total: 443117/855770
valid 42 ====> Acc@1 50.140 Acc@5 93.790
train 43 ====> Acc@1 55.700 Acc@5 94.798
sparsity 43 ====> 51.75% || num_zero/num_total: 442829/855770
valid 43 ====> Acc@1 42.450 Acc@5 88.080
train 44 ====> Acc@1 55.348 Acc@5 94.956
sparsity 44 ====> 51.75% || num_zero/num_total: 442829/855770
valid 44 ====> Acc@1 45.540 Acc@5 89.190
train 45 ====> Acc@1 55.860 Acc@5 94.982
sparsity 45 ====> 51.75% || num_zero/num_total: 442829/855770
valid 45 ====> Acc@1 51.510 Acc@5 93.750
train 46 ====> Acc@1 56.624 Acc@5 95.146
sparsity 46 ====> 51.78% || num_zero/num_total: 443117/855770
valid 46 ====> Acc@1 55.490 Acc@5 94.950
train 47 ====> Acc@1 56.856 Acc@5 95.098
sparsity 47 ====> 51.75% || num_zero/num_total: 442829/855770
valid 47 ====> Acc@1 46.490 Acc@5 91.840
train 48 ====> Acc@1 57.070 Acc@5 95.196
sparsity 48 ====> 51.75% || num_zero/num_total: 442829/855770
valid 48 ====> Acc@1 53.670 Acc@5 94.840
train 49 ====> Acc@1 56.964 Acc@5 95.250
sparsity 49 ====> 51.71% || num_zero/num_total: 442541/855770
valid 49 ====> Acc@1 50.180 Acc@5 91.910
