Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.6
train 0 ====> Acc@1 17.554 Acc@5 69.288
valid 0 ====> Acc@1 28.190 Acc@5 83.060
train 1 ====> Acc@1 33.944 Acc@5 87.552
valid 1 ====> Acc@1 37.710 Acc@5 89.530
train 2 ====> Acc@1 50.964 Acc@5 93.284
valid 2 ====> Acc@1 56.200 Acc@5 94.540
train 3 ====> Acc@1 61.300 Acc@5 96.104
valid 3 ====> Acc@1 57.640 Acc@5 95.890
train 4 ====> Acc@1 68.918 Acc@5 97.514
valid 4 ====> Acc@1 68.650 Acc@5 97.440
train 5 ====> Acc@1 73.308 Acc@5 98.092
valid 5 ====> Acc@1 64.940 Acc@5 97.410
train 6 ====> Acc@1 76.640 Acc@5 98.580
valid 6 ====> Acc@1 74.540 Acc@5 98.230
train 7 ====> Acc@1 78.684 Acc@5 98.760
valid 7 ====> Acc@1 77.910 Acc@5 98.690
train 8 ====> Acc@1 80.518 Acc@5 99.012
valid 8 ====> Acc@1 75.930 Acc@5 98.160
train 9 ====> Acc@1 82.002 Acc@5 99.122
valid 9 ====> Acc@1 69.540 Acc@5 98.620
train 10 ====> Acc@1 83.282 Acc@5 99.216
valid 10 ====> Acc@1 79.100 Acc@5 98.760
train 11 ====> Acc@1 84.318 Acc@5 99.384
valid 11 ====> Acc@1 79.640 Acc@5 99.000
train 12 ====> Acc@1 85.012 Acc@5 99.412
valid 12 ====> Acc@1 81.710 Acc@5 98.960
train 13 ====> Acc@1 85.618 Acc@5 99.456
valid 13 ====> Acc@1 77.460 Acc@5 98.560
train 14 ====> Acc@1 86.662 Acc@5 99.548
valid 14 ====> Acc@1 80.470 Acc@5 98.930
train 15 ====> Acc@1 87.356 Acc@5 99.568
valid 15 ====> Acc@1 79.870 Acc@5 98.810
train 16 ====> Acc@1 87.834 Acc@5 99.628
valid 16 ====> Acc@1 83.710 Acc@5 99.120
train 17 ====> Acc@1 88.422 Acc@5 99.670
valid 17 ====> Acc@1 78.020 Acc@5 98.370
train 18 ====> Acc@1 88.940 Acc@5 99.686
valid 18 ====> Acc@1 78.550 Acc@5 98.550
train 19 ====> Acc@1 89.632 Acc@5 99.696
valid 19 ====> Acc@1 82.300 Acc@5 99.060
train 20 ====> Acc@1 89.742 Acc@5 99.744
valid 20 ====> Acc@1 80.380 Acc@5 99.110
train 21 ====> Acc@1 90.062 Acc@5 99.772
valid 21 ====> Acc@1 81.230 Acc@5 99.040
train 22 ====> Acc@1 90.474 Acc@5 99.754
valid 22 ====> Acc@1 81.510 Acc@5 98.560
train 23 ====> Acc@1 90.568 Acc@5 99.774
valid 23 ====> Acc@1 81.360 Acc@5 98.800
train 24 ====> Acc@1 91.220 Acc@5 99.838
valid 24 ====> Acc@1 83.590 Acc@5 99.300
train 25 ====> Acc@1 91.500 Acc@5 99.858
valid 25 ====> Acc@1 82.860 Acc@5 99.080
train 26 ====> Acc@1 91.962 Acc@5 99.864
valid 26 ====> Acc@1 82.340 Acc@5 98.970
train 27 ====> Acc@1 91.692 Acc@5 99.820
valid 27 ====> Acc@1 84.100 Acc@5 99.280
train 28 ====> Acc@1 91.952 Acc@5 99.876
valid 28 ====> Acc@1 85.040 Acc@5 99.100
train 29 ====> Acc@1 92.220 Acc@5 99.872
valid 29 ====> Acc@1 84.390 Acc@5 99.300
train 30 ====> Acc@1 92.676 Acc@5 99.898
valid 30 ====> Acc@1 84.370 Acc@5 99.290
train 31 ====> Acc@1 92.676 Acc@5 99.908
valid 31 ====> Acc@1 77.950 Acc@5 98.350
train 32 ====> Acc@1 92.778 Acc@5 99.916
valid 32 ====> Acc@1 83.850 Acc@5 99.390
train 33 ====> Acc@1 92.744 Acc@5 99.924
valid 33 ====> Acc@1 78.830 Acc@5 99.040
train 34 ====> Acc@1 93.050 Acc@5 99.912
valid 34 ====> Acc@1 74.800 Acc@5 97.930
train 35 ====> Acc@1 92.964 Acc@5 99.914
valid 35 ====> Acc@1 84.990 Acc@5 98.930
train 36 ====> Acc@1 93.616 Acc@5 99.922
valid 36 ====> Acc@1 84.940 Acc@5 99.310
train 37 ====> Acc@1 93.884 Acc@5 99.946
valid 37 ====> Acc@1 82.110 Acc@5 99.210
train 38 ====> Acc@1 93.910 Acc@5 99.938
valid 38 ====> Acc@1 83.370 Acc@5 99.010
train 39 ====> Acc@1 93.888 Acc@5 99.944
valid 39 ====> Acc@1 83.900 Acc@5 99.240
train 40 ====> Acc@1 93.814 Acc@5 99.930
valid 40 ====> Acc@1 84.340 Acc@5 99.080
train 41 ====> Acc@1 94.172 Acc@5 99.940
valid 41 ====> Acc@1 82.320 Acc@5 98.990
train 42 ====> Acc@1 93.886 Acc@5 99.958
valid 42 ====> Acc@1 83.940 Acc@5 99.020
train 43 ====> Acc@1 94.024 Acc@5 99.938
valid 43 ====> Acc@1 83.320 Acc@5 99.160
train 44 ====> Acc@1 94.180 Acc@5 99.952
valid 44 ====> Acc@1 83.540 Acc@5 98.660
train 45 ====> Acc@1 94.348 Acc@5 99.940
valid 45 ====> Acc@1 81.800 Acc@5 98.730
train 46 ====> Acc@1 94.224 Acc@5 99.964
valid 46 ====> Acc@1 85.270 Acc@5 99.080
train 47 ====> Acc@1 94.520 Acc@5 99.956
valid 47 ====> Acc@1 81.190 Acc@5 99.310
train 48 ====> Acc@1 94.424 Acc@5 99.970
valid 48 ====> Acc@1 84.950 Acc@5 99.330
train 49 ====> Acc@1 94.678 Acc@5 99.948
valid 49 ====> Acc@1 84.370 Acc@5 99.050
train 50 ====> Acc@1 94.814 Acc@5 99.970
valid 50 ====> Acc@1 83.680 Acc@5 98.690
train 51 ====> Acc@1 94.452 Acc@5 99.968
valid 51 ====> Acc@1 84.370 Acc@5 99.130
train 52 ====> Acc@1 94.740 Acc@5 99.962
valid 52 ====> Acc@1 85.710 Acc@5 99.450
train 53 ====> Acc@1 94.702 Acc@5 99.946
valid 53 ====> Acc@1 81.630 Acc@5 98.750
train 54 ====> Acc@1 94.814 Acc@5 99.960
valid 54 ====> Acc@1 83.520 Acc@5 98.750
train 55 ====> Acc@1 94.844 Acc@5 99.950
valid 55 ====> Acc@1 84.430 Acc@5 99.180
train 56 ====> Acc@1 94.832 Acc@5 99.964
valid 56 ====> Acc@1 86.200 Acc@5 99.310
train 57 ====> Acc@1 95.090 Acc@5 99.960
valid 57 ====> Acc@1 85.240 Acc@5 99.070
train 58 ====> Acc@1 94.984 Acc@5 99.950
valid 58 ====> Acc@1 82.440 Acc@5 99.100
train 59 ====> Acc@1 95.206 Acc@5 99.960
valid 59 ====> Acc@1 84.570 Acc@5 98.900
train 60 ====> Acc@1 95.030 Acc@5 99.972
valid 60 ====> Acc@1 82.820 Acc@5 98.810
train 61 ====> Acc@1 95.288 Acc@5 99.966
valid 61 ====> Acc@1 81.440 Acc@5 98.700
train 62 ====> Acc@1 95.276 Acc@5 99.968
valid 62 ====> Acc@1 83.710 Acc@5 99.150
train 63 ====> Acc@1 95.092 Acc@5 99.968
valid 63 ====> Acc@1 84.660 Acc@5 98.930
train 64 ====> Acc@1 95.586 Acc@5 99.962
valid 64 ====> Acc@1 75.770 Acc@5 98.800
train 65 ====> Acc@1 95.314 Acc@5 99.980
valid 65 ====> Acc@1 84.990 Acc@5 99.220
train 66 ====> Acc@1 94.836 Acc@5 99.964
valid 66 ====> Acc@1 84.110 Acc@5 99.200
train 67 ====> Acc@1 95.762 Acc@5 99.974
valid 67 ====> Acc@1 83.150 Acc@5 99.250
train 68 ====> Acc@1 95.378 Acc@5 99.960
valid 68 ====> Acc@1 85.160 Acc@5 98.950
train 69 ====> Acc@1 95.146 Acc@5 99.978
valid 69 ====> Acc@1 86.560 Acc@5 99.340
train 70 ====> Acc@1 95.720 Acc@5 99.982
valid 70 ====> Acc@1 85.360 Acc@5 99.170
train 71 ====> Acc@1 95.228 Acc@5 99.960
valid 71 ====> Acc@1 86.650 Acc@5 99.290
train 72 ====> Acc@1 95.786 Acc@5 99.974
valid 72 ====> Acc@1 86.700 Acc@5 99.240
train 73 ====> Acc@1 95.628 Acc@5 99.968
valid 73 ====> Acc@1 81.520 Acc@5 99.000
train 74 ====> Acc@1 95.278 Acc@5 99.980
valid 74 ====> Acc@1 83.410 Acc@5 99.300
train 75 ====> Acc@1 95.814 Acc@5 99.988
valid 75 ====> Acc@1 87.100 Acc@5 99.560
train 76 ====> Acc@1 95.334 Acc@5 99.962
valid 76 ====> Acc@1 86.200 Acc@5 99.360
train 77 ====> Acc@1 95.676 Acc@5 99.968
valid 77 ====> Acc@1 85.870 Acc@5 99.230
train 78 ====> Acc@1 95.780 Acc@5 99.984
valid 78 ====> Acc@1 80.770 Acc@5 98.950
train 79 ====> Acc@1 95.180 Acc@5 99.970
valid 79 ====> Acc@1 83.840 Acc@5 99.310
train 80 ====> Acc@1 95.854 Acc@5 99.974
valid 80 ====> Acc@1 84.220 Acc@5 99.060
train 81 ====> Acc@1 95.556 Acc@5 99.984
valid 81 ====> Acc@1 83.840 Acc@5 99.400
train 82 ====> Acc@1 95.808 Acc@5 99.972
valid 82 ====> Acc@1 85.380 Acc@5 99.360
train 83 ====> Acc@1 95.514 Acc@5 99.972
valid 83 ====> Acc@1 85.210 Acc@5 99.370
train 84 ====> Acc@1 95.822 Acc@5 99.966
valid 84 ====> Acc@1 83.350 Acc@5 99.070
train 85 ====> Acc@1 95.678 Acc@5 99.966
valid 85 ====> Acc@1 87.040 Acc@5 99.470
train 86 ====> Acc@1 95.826 Acc@5 99.986
valid 86 ====> Acc@1 82.460 Acc@5 98.970
train 87 ====> Acc@1 95.874 Acc@5 99.978
valid 87 ====> Acc@1 84.420 Acc@5 99.160
train 88 ====> Acc@1 95.678 Acc@5 99.972
valid 88 ====> Acc@1 85.370 Acc@5 99.390
train 89 ====> Acc@1 95.610 Acc@5 99.972
valid 89 ====> Acc@1 83.900 Acc@5 99.070
train 90 ====> Acc@1 96.134 Acc@5 99.988
valid 90 ====> Acc@1 83.950 Acc@5 99.300
train 91 ====> Acc@1 96.058 Acc@5 99.978
valid 91 ====> Acc@1 83.950 Acc@5 99.320
train 92 ====> Acc@1 95.656 Acc@5 99.974
valid 92 ====> Acc@1 81.930 Acc@5 99.170
train 93 ====> Acc@1 95.894 Acc@5 99.972
valid 93 ====> Acc@1 84.310 Acc@5 99.430
train 94 ====> Acc@1 95.846 Acc@5 99.982
valid 94 ====> Acc@1 84.910 Acc@5 99.370
train 95 ====> Acc@1 95.788 Acc@5 99.976
valid 95 ====> Acc@1 83.320 Acc@5 98.710
train 96 ====> Acc@1 95.948 Acc@5 99.980
valid 96 ====> Acc@1 84.950 Acc@5 99.390
train 97 ====> Acc@1 95.514 Acc@5 99.964
valid 97 ====> Acc@1 82.960 Acc@5 99.340
train 98 ====> Acc@1 96.144 Acc@5 99.982
valid 98 ====> Acc@1 84.930 Acc@5 99.260
train 99 ====> Acc@1 95.954 Acc@5 99.968
valid 99 ====> Acc@1 84.630 Acc@5 99.400
train 100 ====> Acc@1 95.998 Acc@5 99.978
valid 100 ====> Acc@1 83.670 Acc@5 98.820
train 101 ====> Acc@1 95.622 Acc@5 99.972
valid 101 ====> Acc@1 85.210 Acc@5 99.340
train 102 ====> Acc@1 96.196 Acc@5 99.982
valid 102 ====> Acc@1 82.970 Acc@5 99.120
train 103 ====> Acc@1 96.274 Acc@5 99.980
valid 103 ====> Acc@1 82.700 Acc@5 98.900
train 104 ====> Acc@1 96.206 Acc@5 99.978
valid 104 ====> Acc@1 83.910 Acc@5 98.920
train 105 ====> Acc@1 95.886 Acc@5 99.990
valid 105 ====> Acc@1 86.910 Acc@5 99.470
train 106 ====> Acc@1 96.212 Acc@5 99.974
valid 106 ====> Acc@1 85.100 Acc@5 99.280
train 107 ====> Acc@1 96.018 Acc@5 99.986
valid 107 ====> Acc@1 85.980 Acc@5 99.230
train 108 ====> Acc@1 96.092 Acc@5 99.984
valid 108 ====> Acc@1 83.540 Acc@5 98.770
train 109 ====> Acc@1 95.948 Acc@5 99.978
valid 109 ====> Acc@1 84.080 Acc@5 99.150
train 110 ====> Acc@1 96.298 Acc@5 99.986
valid 110 ====> Acc@1 82.840 Acc@5 99.180
train 111 ====> Acc@1 95.760 Acc@5 99.976
valid 111 ====> Acc@1 84.830 Acc@5 99.080
train 112 ====> Acc@1 96.290 Acc@5 99.986
valid 112 ====> Acc@1 84.700 Acc@5 99.000
train 113 ====> Acc@1 96.170 Acc@5 99.984
valid 113 ====> Acc@1 85.180 Acc@5 99.290
train 114 ====> Acc@1 96.268 Acc@5 99.972
valid 114 ====> Acc@1 86.220 Acc@5 99.340
train 115 ====> Acc@1 95.568 Acc@5 99.974
valid 115 ====> Acc@1 81.040 Acc@5 99.070
train 116 ====> Acc@1 96.140 Acc@5 99.988
valid 116 ====> Acc@1 85.880 Acc@5 99.330
train 117 ====> Acc@1 96.182 Acc@5 99.984
valid 117 ====> Acc@1 81.960 Acc@5 99.360
train 118 ====> Acc@1 96.086 Acc@5 99.964
valid 118 ====> Acc@1 83.580 Acc@5 99.000
train 119 ====> Acc@1 96.276 Acc@5 99.984
valid 119 ====> Acc@1 86.290 Acc@5 99.100
train 120 ====> Acc@1 96.086 Acc@5 99.986
valid 120 ====> Acc@1 81.500 Acc@5 98.380
train 121 ====> Acc@1 96.034 Acc@5 99.968
valid 121 ====> Acc@1 86.500 Acc@5 99.260
train 122 ====> Acc@1 96.370 Acc@5 99.988
valid 122 ====> Acc@1 85.810 Acc@5 99.130
train 123 ====> Acc@1 95.984 Acc@5 99.986
valid 123 ====> Acc@1 84.110 Acc@5 99.240
train 124 ====> Acc@1 96.100 Acc@5 99.978
valid 124 ====> Acc@1 86.710 Acc@5 99.220
train 125 ====> Acc@1 95.898 Acc@5 99.978
valid 125 ====> Acc@1 84.830 Acc@5 99.340
train 126 ====> Acc@1 96.414 Acc@5 99.994
valid 126 ====> Acc@1 84.200 Acc@5 98.710
train 127 ====> Acc@1 96.118 Acc@5 99.978
valid 127 ====> Acc@1 85.820 Acc@5 99.240
train 128 ====> Acc@1 96.336 Acc@5 99.984
valid 128 ====> Acc@1 85.480 Acc@5 99.310
train 129 ====> Acc@1 96.056 Acc@5 99.984
valid 129 ====> Acc@1 84.820 Acc@5 99.310
train 130 ====> Acc@1 96.374 Acc@5 99.980
valid 130 ====> Acc@1 84.960 Acc@5 99.250
train 131 ====> Acc@1 95.756 Acc@5 99.954
valid 131 ====> Acc@1 82.350 Acc@5 99.280
train 132 ====> Acc@1 96.424 Acc@5 99.988
valid 132 ====> Acc@1 84.920 Acc@5 99.040
train 133 ====> Acc@1 96.452 Acc@5 99.988
valid 133 ====> Acc@1 87.090 Acc@5 99.420
train 134 ====> Acc@1 96.454 Acc@5 99.978
valid 134 ====> Acc@1 86.050 Acc@5 99.350
train 135 ====> Acc@1 96.210 Acc@5 99.984
valid 135 ====> Acc@1 85.790 Acc@5 99.450
train 136 ====> Acc@1 96.538 Acc@5 99.990
valid 136 ====> Acc@1 85.810 Acc@5 99.410
train 137 ====> Acc@1 96.044 Acc@5 99.982
valid 137 ====> Acc@1 86.180 Acc@5 99.430
train 138 ====> Acc@1 96.372 Acc@5 99.986
valid 138 ====> Acc@1 79.550 Acc@5 96.610
