Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1.0
train 0 ====> Acc@1 18.076 Acc@5 69.088
sparsity 0 ====> 50.88% || num_zero/num_total: 435426/855770
valid 0 ====> Acc@1 23.040 Acc@5 77.020
train 1 ====> Acc@1 24.522 Acc@5 78.608
sparsity 1 ====> 51.40% || num_zero/num_total: 439890/855770
valid 1 ====> Acc@1 22.760 Acc@5 77.000
train 2 ====> Acc@1 26.970 Acc@5 81.086
sparsity 2 ====> 51.77% || num_zero/num_total: 443058/855770
valid 2 ====> Acc@1 22.600 Acc@5 77.530
train 3 ====> Acc@1 29.718 Acc@5 82.846
sparsity 3 ====> 51.76% || num_zero/num_total: 442914/855770
valid 3 ====> Acc@1 18.190 Acc@5 72.090
train 4 ====> Acc@1 31.790 Acc@5 84.290
sparsity 4 ====> 51.81% || num_zero/num_total: 443346/855770
valid 4 ====> Acc@1 29.110 Acc@5 77.370
train 5 ====> Acc@1 33.198 Acc@5 85.224
sparsity 5 ====> 51.72% || num_zero/num_total: 442626/855770
valid 5 ====> Acc@1 36.130 Acc@5 87.000
train 6 ====> Acc@1 34.398 Acc@5 86.076
sparsity 6 ====> 51.72% || num_zero/num_total: 442626/855770
valid 6 ====> Acc@1 20.130 Acc@5 67.630
train 7 ====> Acc@1 35.124 Acc@5 87.124
sparsity 7 ====> 51.72% || num_zero/num_total: 442626/855770
valid 7 ====> Acc@1 37.700 Acc@5 87.970
train 8 ====> Acc@1 36.032 Acc@5 87.472
sparsity 8 ====> 51.66% || num_zero/num_total: 442066/855770
valid 8 ====> Acc@1 36.500 Acc@5 88.030
train 9 ====> Acc@1 36.400 Acc@5 87.582
sparsity 9 ====> 51.62% || num_zero/num_total: 441778/855770
valid 9 ====> Acc@1 39.010 Acc@5 88.540
train 10 ====> Acc@1 36.644 Acc@5 87.680
sparsity 10 ====> 52.33% || num_zero/num_total: 447826/855770
valid 10 ====> Acc@1 30.350 Acc@5 81.930
train 11 ====> Acc@1 37.288 Acc@5 88.188
sparsity 11 ====> 52.36% || num_zero/num_total: 448114/855770
valid 11 ====> Acc@1 37.570 Acc@5 88.280
train 12 ====> Acc@1 38.050 Acc@5 88.584
sparsity 12 ====> 52.30% || num_zero/num_total: 447538/855770
valid 12 ====> Acc@1 28.640 Acc@5 78.390
train 13 ====> Acc@1 38.602 Acc@5 88.936
sparsity 13 ====> 52.43% || num_zero/num_total: 448690/855770
valid 13 ====> Acc@1 40.850 Acc@5 89.700
train 14 ====> Acc@1 38.580 Acc@5 89.204
sparsity 14 ====> 52.46% || num_zero/num_total: 448978/855770
valid 14 ====> Acc@1 41.660 Acc@5 90.090
train 15 ====> Acc@1 37.908 Acc@5 88.252
sparsity 15 ====> 52.52% || num_zero/num_total: 449410/855770
valid 15 ====> Acc@1 28.040 Acc@5 81.350
train 16 ====> Acc@1 39.160 Acc@5 89.020
sparsity 16 ====> 52.27% || num_zero/num_total: 447282/855770
valid 16 ====> Acc@1 36.470 Acc@5 86.520
train 17 ====> Acc@1 39.804 Acc@5 89.332
sparsity 17 ====> 52.38% || num_zero/num_total: 448290/855770
