Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 0.8
train 0 ====> Acc@1 19.012 Acc@5 69.380
sparsity 0 ====> 47.47% || num_zero/num_total: 406227/855770
valid 0 ====> Acc@1 15.700 Acc@5 65.250
train 1 ====> Acc@1 24.842 Acc@5 78.172
sparsity 1 ====> 47.64% || num_zero/num_total: 407667/855770
valid 1 ====> Acc@1 27.970 Acc@5 79.620
train 2 ====> Acc@1 27.896 Acc@5 80.032
sparsity 2 ====> 48.70% || num_zero/num_total: 416739/855770
valid 2 ====> Acc@1 25.450 Acc@5 76.730
train 3 ====> Acc@1 30.102 Acc@5 81.884
sparsity 3 ====> 49.47% || num_zero/num_total: 423363/855770
valid 3 ====> Acc@1 17.710 Acc@5 68.810
train 4 ====> Acc@1 31.190 Acc@5 82.886
sparsity 4 ====> 49.62% || num_zero/num_total: 424659/855770
valid 4 ====> Acc@1 18.750 Acc@5 68.670
train 5 ====> Acc@1 32.676 Acc@5 84.630
sparsity 5 ====> 49.79% || num_zero/num_total: 426099/855770
valid 5 ====> Acc@1 35.610 Acc@5 86.280
train 6 ====> Acc@1 34.118 Acc@5 86.096
sparsity 6 ====> 49.88% || num_zero/num_total: 426819/855770
valid 6 ====> Acc@1 35.020 Acc@5 85.840
train 7 ====> Acc@1 35.596 Acc@5 87.012
sparsity 7 ====> 49.81% || num_zero/num_total: 426243/855770
valid 7 ====> Acc@1 30.870 Acc@5 83.230
train 8 ====> Acc@1 36.700 Acc@5 87.610
sparsity 8 ====> 49.84% || num_zero/num_total: 426531/855770
valid 8 ====> Acc@1 38.940 Acc@5 89.180
train 9 ====> Acc@1 36.680 Acc@5 87.814
sparsity 9 ====> 50.57% || num_zero/num_total: 432723/855770
valid 9 ====> Acc@1 25.620 Acc@5 78.470
train 10 ====> Acc@1 38.084 Acc@5 88.498
sparsity 10 ====> 50.60% || num_zero/num_total: 433011/855770
valid 10 ====> Acc@1 37.630 Acc@5 89.510
train 11 ====> Acc@1 39.084 Acc@5 89.382
sparsity 11 ====> 50.63% || num_zero/num_total: 433299/855770
valid 11 ====> Acc@1 22.050 Acc@5 54.110
train 12 ====> Acc@1 39.816 Acc@5 89.772
sparsity 12 ====> 50.63% || num_zero/num_total: 433299/855770
valid 12 ====> Acc@1 40.960 Acc@5 90.300
train 13 ====> Acc@1 40.794 Acc@5 90.300
sparsity 13 ====> 50.67% || num_zero/num_total: 433587/855770
valid 13 ====> Acc@1 42.870 Acc@5 90.950
train 14 ====> Acc@1 41.708 Acc@5 90.774
sparsity 14 ====> 50.67% || num_zero/num_total: 433587/855770
valid 14 ====> Acc@1 40.350 Acc@5 89.870
train 15 ====> Acc@1 42.578 Acc@5 90.776
sparsity 15 ====> 50.70% || num_zero/num_total: 433875/855770
valid 15 ====> Acc@1 43.400 Acc@5 90.520
train 16 ====> Acc@1 43.808 Acc@5 91.190
sparsity 16 ====> 50.63% || num_zero/num_total: 433299/855770
valid 16 ====> Acc@1 39.330 Acc@5 86.910
train 17 ====> Acc@1 44.350 Acc@5 91.576
sparsity 17 ====> 50.63% || num_zero/num_total: 433299/855770
valid 17 ====> Acc@1 43.000 Acc@5 91.040
train 18 ====> Acc@1 44.942 Acc@5 91.786
sparsity 18 ====> 50.63% || num_zero/num_total: 433299/855770
valid 18 ====> Acc@1 48.070 Acc@5 92.560
train 19 ====> Acc@1 45.638 Acc@5 91.902
sparsity 19 ====> 50.67% || num_zero/num_total: 433587/855770
valid 19 ====> Acc@1 47.060 Acc@5 92.880
train 20 ====> Acc@1 45.976 Acc@5 92.082
sparsity 20 ====> 50.70% || num_zero/num_total: 433875/855770
valid 20 ====> Acc@1 43.890 Acc@5 90.950
train 21 ====> Acc@1 46.300 Acc@5 91.876
sparsity 21 ====> 50.67% || num_zero/num_total: 433587/855770
valid 21 ====> Acc@1 45.450 Acc@5 91.690
train 22 ====> Acc@1 47.022 Acc@5 92.340
sparsity 22 ====> 50.62% || num_zero/num_total: 433155/855770
valid 22 ====> Acc@1 45.680 Acc@5 92.030
train 23 ====> Acc@1 47.404 Acc@5 92.478
sparsity 23 ====> 50.63% || num_zero/num_total: 433299/855770
